"VarName";"TimeString";"VarValue";"Validity";"Time_ms";"Checksum"
"CT313_PV_OUT";"02.07.2023 11:51:21";0;1;45109493992,5694;uyBpWN
"CT313_PV_OUT";"02.07.2023 11:51:51";0;1;45109494339,3403;l2NzNI
"CT313_PV_OUT";"02.07.2023 11:52:21";0;1;45109494683,9352;UPivom
"CT313_PV_OUT";"02.07.2023 11:52:51";0;1;45109495031,5394;PyDk0F
"CT313_PV_OUT";"02.07.2023 11:53:21";0;1;45109495379,5255;HhxMij
"CT313_PV_OUT";"02.07.2023 11:53:51";0;1;45109495727,4306;f/tu4/
"CT313_PV_OUT";"02.07.2023 11:54:21";0;1;45109496071,7708;T24sby
"CT313_PV_OUT";"02.07.2023 11:54:51";0;1;45109496419,4676;XCTjtF
"CT313_PV_OUT";"02.07.2023 11:55:21";0;1;45109496768,0903;g7imXK
"CT313_PV_OUT";"02.07.2023 11:55:51";0;1;45109497114,5486;i22Bjm
"CT313_PV_OUT";"02.07.2023 11:56:21";0;1;45109497462,1644;EmWV+A
"CT313_PV_OUT";"02.07.2023 11:56:51";0;1;45109497808,8079;+0oE1A
"CT313_PV_OUT";"02.07.2023 11:57:21";0;1;45109498156,1227;Vb+3Sg
"CT313_PV_OUT";"02.07.2023 11:57:51";0;1;45109498502,7894;hIuWf4
"CT313_PV_OUT";"02.07.2023 11:58:21";0;1;45109498849,2593;KGTZcI
"CT313_PV_OUT";"02.07.2023 11:58:51";0;1;45109499195,9954;+zd0tn
"CT313_PV_OUT";"02.07.2023 11:59:21";0;1;45109499542,8704;WB3h62
"CT313_PV_OUT";"02.07.2023 11:59:51";0;1;45109499890,2431;lOW9cb
"CT313_PV_OUT";"02.07.2023 12:00:20";0;1;45109500235,463;/FCTcH
"CT313_PV_OUT";"02.07.2023 12:00:50";0;1;45109500582,3264;BoJTWA
"CT313_PV_OUT";"02.07.2023 12:01:20";0;1;45109500930,4167;NL9tuU
"CT313_PV_OUT";"02.07.2023 12:01:50";0;1;45109501277,3495;LROyMV
"CT313_PV_OUT";"02.07.2023 12:02:20";0;1;45109501624,7917;Gtcfdv
"CT313_PV_OUT";"02.07.2023 12:02:50";0;1;45109501971,6435;ZWAtia
"CT313_PV_OUT";"02.07.2023 12:03:20";0;1;45109502318,287;JlyDSD
"CT313_PV_OUT";"02.07.2023 12:03:50";0;1;45109502665,3472;c4ikHZ
"CT313_PV_OUT";"02.07.2023 12:04:20";0;1;45109503013,1944;zp8GHf
"CT313_PV_OUT";"02.07.2023 12:04:50";0;1;45109503360,1273;58lJZq
"CT313_PV_OUT";"02.07.2023 12:05:20";0;1;45109503706,0995;xLFjjy
"CT313_PV_OUT";"02.07.2023 12:05:50";0;1;45109504053,5995;OpJDpO
"CT313_PV_OUT";"02.07.2023 12:06:20";0;1;45109504399,8032;YKie7M
"CT313_PV_OUT";"02.07.2023 12:06:50";0;1;45109504746,713;a12E8L
"CT313_PV_OUT";"02.07.2023 12:07:20";0;1;45109505093,5995;wIRkvX
"CT313_PV_OUT";"02.07.2023 12:07:50";0;1;45109505440,2083;LxnmFm
"CT313_PV_OUT";"02.07.2023 12:08:20";0;1;45109505786,3079;iQk8a2
"CT313_PV_OUT";"02.07.2023 12:08:50";0;1;45109506133,7384;spXg/k
"CT313_PV_OUT";"02.07.2023 12:09:20";0;1;45109506482,4074;EdJZLF
"CT313_PV_OUT";"02.07.2023 12:09:50";0;1;45109506829,1204;a6IBvK
"CT313_PV_OUT";"02.07.2023 12:10:21";0;1;45109507187,6157;NBZmS7
"CT313_PV_OUT";"02.07.2023 12:10:51";0;1;45109507534,5139;WgXBfE
"CT313_PV_OUT";"02.07.2023 12:11:21";0;1;45109507880,8449;rxoiK1
"CT313_PV_OUT";"02.07.2023 12:11:51";0;1;45109508228,3565;KLvoYJ
"CT313_PV_OUT";"02.07.2023 12:12:21";0;1;45109508572,3032;adgorY
"CT313_PV_OUT";"02.07.2023 12:12:51";0;1;45109508920,0232;9IjJAm
"CT313_PV_OUT";"02.07.2023 12:13:21";0;1;45109509268,7847;i3iaGV
"CT313_PV_OUT";"02.07.2023 12:13:51";0;1;45109509615,5903;8cpaN6
"CT313_PV_OUT";"02.07.2023 12:14:21";0;1;45109509962,0833;Yxlvs/
"CT313_PV_OUT";"02.07.2023 12:14:51";0;1;45109510309,9769;tv1ild
"CT313_PV_OUT";"02.07.2023 12:15:21";0;1;45109510656,4352;3f4xvG
"CT313_PV_OUT";"02.07.2023 12:15:51";0;1;45109511003,9236;Rf0oeN
"CT313_PV_OUT";"02.07.2023 12:16:21";0;1;45109511349,0625;xzX1eg
"CT313_PV_OUT";"02.07.2023 12:16:51";0;1;45109511695,6713;lDqEqC
"CT313_PV_OUT";"02.07.2023 12:17:20";0;1;45109512042,6157;FK3LOR
"CT313_PV_OUT";"02.07.2023 12:17:50";0;1;45109512389,4907;kxuxL7
"CT313_PV_OUT";"02.07.2023 12:18:21";0;1;45109512737,7546;Xokqok
"CT313_PV_OUT";"02.07.2023 12:18:50";0;1;45109513084,4676;vguKZM
"CT313_PV_OUT";"02.07.2023 12:19:20";0;1;45109513431,0648;8PGahn
"CT313_PV_OUT";"02.07.2023 12:19:50";0;1;45109513778,1597;Jci2cv
"CT313_PV_OUT";"02.07.2023 12:20:20";0;1;45109514122,5;QwcXcT
"CT313_PV_OUT";"02.07.2023 12:20:50";0;1;45109514469,3981;usl6Oh
"CT313_PV_OUT";"02.07.2023 12:21:20";0;1;45109514816,6782;HDAsaP
"CT313_PV_OUT";"02.07.2023 12:21:50";0;1;45109515163,4607;GAEukS
"CT313_PV_OUT";"02.07.2023 12:22:20";0;1;45109515511,7477;XNIBKF
"CT313_PV_OUT";"02.07.2023 12:22:50";0;1;45109515858,3333;SCvEVs
"CT313_PV_OUT";"02.07.2023 12:23:20";0;1;45109516203,9352;H9kNqn
"CT313_PV_OUT";"02.07.2023 12:23:50";0;1;45109516551,8866;uViYdd
"CT313_PV_OUT";"02.07.2023 12:24:20";0;1;45109516899,3634;OXPSCm
"CT313_PV_OUT";"02.07.2023 12:24:50";0;1;45109517247,3148;3va4YF
"CT313_PV_OUT";"02.07.2023 12:25:20";0;1;45109517592,8125;1Qo458
"CT313_PV_OUT";"02.07.2023 12:25:50";0;1;45109517939,6065;xrFPoq
"CT313_PV_OUT";"02.07.2023 12:26:20";0;1;45109518286,7593;iWYZTG
"CT313_PV_OUT";"02.07.2023 12:26:50";0;1;45109518634,8611;vey6g8
"CT313_PV_OUT";"02.07.2023 12:27:20";0;1;45109518980,6019;Pc7Jz+
"CT313_PV_OUT";"02.07.2023 12:27:50";0;1;45109519328,4028;yczvTt
"CT313_PV_OUT";"02.07.2023 12:28:21";0;1;45109519684,1435;c1Vq8M
"CT313_PV_OUT";"02.07.2023 12:28:51";0;1;45109520031,0648;HM+6Rq
"CT313_PV_OUT";"02.07.2023 12:29:21";0;1;45109520378,8542;P9gYAR
"CT313_PV_OUT";"02.07.2023 12:29:51";0;1;45109520726,2963;yPuS6D
"CT313_PV_OUT";"02.07.2023 12:30:21";0;1;45109521073,3333;e30QQB
"CT313_PV_OUT";"02.07.2023 12:30:51";0;1;45109521420,1968;WwhQMw
"CT313_PV_OUT";"02.07.2023 12:31:21";0;1;45109521768,0093;cZHenQ
"CT313_PV_OUT";"02.07.2023 12:31:51";0;1;45109522114,6644;Yi8MEz
"CT313_PV_OUT";"02.07.2023 12:32:21";0;1;45109522460,9954;aBGY4E
"CT313_PV_OUT";"02.07.2023 12:32:51";0;1;45109522808,9468;W6kaUS
"CT313_PV_OUT";"02.07.2023 12:33:21";0;1;45109523154,5139;hDzvnT
"CT313_PV_OUT";"02.07.2023 12:33:51";0;1;45109523502,3148;ngTrTg
"CT313_PV_OUT";"02.07.2023 12:34:21";0;1;45109523848,6574;dweOvR
"CT313_PV_OUT";"02.07.2023 12:34:50";0;1;45109524195,4051;rEnT+n
"CT313_PV_OUT";"02.07.2023 12:35:20";0;1;45109524540,1389;9eLAcR
"CT313_PV_OUT";"02.07.2023 12:35:50";0;1;45109524887,7778;uhHFQk
"CT313_PV_OUT";"02.07.2023 12:36:20";0;1;45109525235,8681;JAGG0w
"CT313_PV_OUT";"02.07.2023 12:36:50";0;1;45109525583,1134;orgaq9
"CT313_PV_OUT";"02.07.2023 12:37:20";0;1;45109525929,1435;mGkggi
"CT313_PV_OUT";"02.07.2023 12:37:50";0;1;45109526277,0139;KcTFzf
"CT313_PV_OUT";"02.07.2023 12:38:20";0;1;45109526623,7963;YtwdW7
"CT313_PV_OUT";"02.07.2023 12:38:50";0;1;45109526970,463;/SWsxP
"CT313_PV_OUT";"02.07.2023 12:39:20";0;1;45109527316,875;tjhf6q
"CT313_PV_OUT";"02.07.2023 12:39:50";0;1;45109527663,4144;PbDx8N
"CT313_PV_OUT";"02.07.2023 12:40:20";0;1;45109528009,6991;Z2j5gY
"CT313_PV_OUT";"02.07.2023 12:40:50";0;1;45109528356,7014;ZbQsGQ
"CT313_PV_OUT";"02.07.2023 12:41:20";0;1;45109528704,8264;J0pcQd
"CT313_PV_OUT";"02.07.2023 12:41:50";0;1;45109529052,3843;7j3oh+
"CT313_PV_OUT";"02.07.2023 12:42:20";0;1;45109529398,8773;PXM4Fm
"CT313_PV_OUT";"02.07.2023 12:42:50";0;1;45109529745,6019;/M3D1L
"CT313_PV_OUT";"02.07.2023 12:43:20";0;1;45109530092,4537;bgGLhm
"CT313_PV_OUT";"02.07.2023 12:43:50";0;1;45109530440,3009;mgKB9l
"CT313_PV_OUT";"02.07.2023 12:44:20";0;1;45109530786,5625;uB+f7S
"CT313_PV_OUT";"02.07.2023 12:44:50";0;1;45109531133,4259;1nfpb6
"CT313_PV_OUT";"02.07.2023 12:45:20";0;1;45109531481,0648;J1fLHD
"CT313_PV_OUT";"02.07.2023 12:45:50";0;1;45109531828,8194;S6lIhi
"CT313_PV_OUT";"02.07.2023 12:46:20";0;1;45109532175,3819;63g3NO
"CT313_PV_OUT";"02.07.2023 12:46:50";0;1;45109532522,3958;stuoy3
"CT313_PV_OUT";"02.07.2023 12:47:20";0;1;45109532869,4676;2o7MR1
"CT313_PV_OUT";"02.07.2023 12:47:50";0;1;45109533216,2963;ixcAGg
"CT313_PV_OUT";"02.07.2023 12:48:20";0;1;45109533562,5579;i8E1FH
"CT313_PV_OUT";"02.07.2023 12:48:50";0;1;45109533910,5787;n2nLDB
"CT313_PV_OUT";"02.07.2023 12:49:20";0;1;45109534257,1181;CF6TZO
"CT313_PV_OUT";"02.07.2023 12:49:50";0;1;45109534605,0347;5bzfKa
"CT313_PV_OUT";"02.07.2023 12:50:20";0;1;45109534949,7801;k0OtNx
"CT313_PV_OUT";"02.07.2023 12:50:50";0;1;45109535296,5856;SsK5jq
"CT313_PV_OUT";"02.07.2023 12:51:21";0;1;45109535655,1389;/sER60
"CT313_PV_OUT";"02.07.2023 12:51:51";0;1;45109536003,044;SYbrVq
"CT313_PV_OUT";"02.07.2023 12:52:20";0;1;45109536347,2106;4ZUsNq
"CT313_PV_OUT";"02.07.2023 12:52:50";0;1;45109536695,1736;90dtaY
"CT313_PV_OUT";"02.07.2023 12:53:21";0;1;45109537043,6458;T2u7TP
"CT313_PV_OUT";"02.07.2023 12:53:51";0;1;45109537390,706;E+x6SX
"CT313_PV_OUT";"02.07.2023 12:54:20";0;1;45109537735,5903;L4QS2g
"CT313_PV_OUT";"02.07.2023 12:54:50";0;1;45109538083,1134;h6cSbY
"CT313_PV_OUT";"02.07.2023 12:55:20";0;1;45109538430,8102;W1kzPf
"CT313_PV_OUT";"02.07.2023 12:55:50";0;1;45109538777,5347;KpzHeg
"CT313_PV_OUT";"02.07.2023 12:56:20";0;1;45109539125,4514;sihebL
"CT313_PV_OUT";"02.07.2023 12:56:50";0;1;45109539472,1991;EL+XDN
"CT313_PV_OUT";"02.07.2023 12:57:20";0;1;45109539818,6574;cym0lk
"CT313_PV_OUT";"02.07.2023 12:57:50";0;1;45109540166,5741;Uugl0x
"CT313_PV_OUT";"02.07.2023 12:58:20";0;1;45109540512,4884;NKoe/a
"CT313_PV_OUT";"02.07.2023 12:58:50";0;1;45109540860,0926;3iRrqw
"CT313_PV_OUT";"02.07.2023 12:59:20";0;1;45109541207,1412;hvH5vR
"CT313_PV_OUT";"02.07.2023 12:59:50";0;1;45109541553,8542;wqL+RW
"CT313_PV_OUT";"02.07.2023 13:00:20";0;1;45109541900,7986;qV73mV
"CT313_PV_OUT";"02.07.2023 13:00:50";0;1;45109542246,9444;vhWpsN
"CT313_PV_OUT";"02.07.2023 13:01:20";0;1;45109542593,8889;+n/QEq
"CT313_PV_OUT";"02.07.2023 13:01:50";0;1;45109542940,8218;SAmpqf
"CT313_PV_OUT";"02.07.2023 13:02:20";0;1;45109543287,7778;Jf/h7N
"CT313_PV_OUT";"02.07.2023 13:02:50";0;1;45109543634,3519;p+RbiM
"CT313_PV_OUT";"02.07.2023 13:03:20";0;1;45109543979,5486;px47t9
"CT313_PV_OUT";"02.07.2023 13:03:50";0;1;45109544326,3194;z5UOf6
"CT313_PV_OUT";"02.07.2023 13:04:20";0;1;45109544673,4375;Bn16WC
"CT313_PV_OUT";"02.07.2023 13:04:50";0;1;45109545020,2778;G671lH
"CT313_PV_OUT";"02.07.2023 13:05:20";0;1;45109545366,1227;atSHov
"CT313_PV_OUT";"02.07.2023 13:05:50";0;1;45109545712,8125;eJj2B5
"CT313_PV_OUT";"02.07.2023 13:06:19";0;1;45109546058,8426;S4zwxH
"CT313_PV_OUT";"02.07.2023 13:06:50";0;1;45109546406,7014;sZ7Q+A
"CT313_PV_OUT";"02.07.2023 13:07:20";0;1;45109546764,0856;KjFAjZ
"CT313_PV_OUT";"02.07.2023 13:07:50";0;1;45109547111,7361;v00Hu/
"CT313_PV_OUT";"02.07.2023 13:08:20";0;1;45109547458,9699;+9YXoc
"CT313_PV_OUT";"02.07.2023 13:08:50";0;1;45109547806,4815;27a+zB
"CT313_PV_OUT";"02.07.2023 13:09:20";0;1;45109548152,6273;H5d1R8
"CT313_PV_OUT";"02.07.2023 13:09:50";0;1;45109548500,5093;cTA28L
"CT313_PV_OUT";"02.07.2023 13:10:20";0;1;45109548846,3889;N3N3j4
"CT313_PV_OUT";"02.07.2023 13:10:50";0;1;45109549194,1667;ijxd/r
"CT313_PV_OUT";"02.07.2023 13:11:20";0;1;45109549540,4861;/0gYs4
"CT313_PV_OUT";"02.07.2023 13:11:50";0;1;45109549888,5185;HBTME4
"CT313_PV_OUT";"02.07.2023 13:12:20";0;1;45109550234,3056;O7tVPt
"CT313_PV_OUT";"02.07.2023 13:12:50";0;1;45109550582,0486;+uf6ro
"CT313_PV_OUT";"02.07.2023 13:13:20";0;1;45109550928,7153;turyZl
"CT313_PV_OUT";"02.07.2023 13:13:50";0;1;45109551275,5903;ffJ/Wg
"CT313_PV_OUT";"02.07.2023 13:14:20";0;1;45109551622,037;nOdQ2d
"CT313_PV_OUT";"02.07.2023 13:14:50";0;1;45109551968,7616;z85qXw
"CT313_PV_OUT";"02.07.2023 13:15:20";0;1;45109552316,4468;gvtrYB
"CT313_PV_OUT";"02.07.2023 13:15:50";0;1;45109552663,5532;ZvdwKr
"CT313_PV_OUT";"02.07.2023 13:16:20";0;1;45109553010,1042;dv2WiC
"CT313_PV_OUT";"02.07.2023 13:16:50";0;1;45109553358,0093;Ri8n4i
"CT313_PV_OUT";"02.07.2023 13:17:20";0;1;45109553701,1806;6vqTOP
